index;original;replace;excludeTerms;excludePaths
314;Legendary Infinity Whale;Legendary Infinity Whale;;
315;Ogre's Bone Club;Ogre's Bone Club;;
316;Fox Shrine's Bell String;Fox Shrine's Bell String;;
317;V-Tamer Certificate;V-Tamer Certificate;;
318;Insect Assassin Certificate;Insect Assassin Certificate;;
319;Proto Metal;Proto Metal;;
320;Giant Scissors;Giant Scissors;;
321;Insectivore Fertilizer;Insectivore Fertilizer;;
322;Big Tree's Dead Branch;Big Tree's Dead Branch;;
323;Steel Helmet of the Centaur;Steel Helmet of the Centaur;;
324;Cursed Cloth;Cursed Cloth;;
325;Bomb Gloves;Bomb Gloves;;
326;Metal Armor;Metal Armor;;
327;Magic Amulet;Magic Amulet;;
328;Ancient Spirit of Two Souls;Ancient Spirit of Two Souls;;
329;Blade of the Wind Dragon;Blade of the Wind Dragon;;
330;Bloody Metal;Bloody Metal;;
331;Fierce Scissors;Fierce Scissors;;
332;Fatal Bone;Fatal Bone;;
333;Giant Forest Tree;Giant Forest Tree;;
334;Black Hand;Black Hand;;
335;Fairy Spear;Fairy Spear;;
336;Mystery Ray Gun;Mystery Ray Gun;;
337;Nightmare Egg;Nightmare Egg;;
338;Fire Chains of Destruction;Fire Chains of Destruction;;
339;High Speed Turbine;High Speed Turbine;;
340;Noble Mane;Noble Mane;;
341;Evil Plush;Evil Plush;;
342;Fake Royalty Certificate;Fake Royalty Certificate;;
343;Staff of the Shrine Priestess;Staff of the Shrine Priestess;;
344;Emperial Dragon's Old Cannon;Emperial Dragon's Old Cannon;;
345;Omega Blade;Omega Blade;;
346;Jet-Black Magic Circle;Jet-Black Magic Circle;;
347;Blue Swiftness Armour;Blue Swiftness Armour;;
348;Devil's Scissors;Devil's Scissors;;
349;Infinity Metal;Infinity Metal;;
350;CHO Alloy;CHO Alloy;;
351;Clown Mask;Clown Mask;;
352;Cursed Puppet;Cursed Puppet;;
353;Completed Parts;Completed Parts;;
354;Long Grey Beard of Greed;Long Grey Beard of Greed;;
355;Holy Mother's Javelin;Holy Mother's Javelin;;
356;Battle Axe of Sorrow;Battle Axe of Sorrow;;
357;Ancient Lions Fangs;Ancient Lions Fangs;;
358;Colourful Platina;Colourful Platina;;
359;Crimson Metal;Crimson Metal;;
360;Swiftness X-Antibody;Swiftness X-Antibody;;
361;Gluttony X-Antibody;Gluttony X-Antibody;;
362;Miracle X-Antibody;Miracle X-Antibody;;
364;X-Reduction Field;X-Reduction Field;;
365;Mutated Waste Data;Mutated Waste Data;;
366;Fierce Deity's Resentful Blade;Fierce Deity's Resentful Blade;;
367;Janbari Firewood;Janbari Firewood;;
368;Chip of Courage;Chip of Courage;;
369;Chip of Friendship;Chip of Friendship;;
370;Chip of Love;Chip of Love;;
371;Chip of Knowledge;Chip of Knowledge;;
372;Chip of Sincerity;Chip of Sincerity;;
373;Chip of Reliability;Chip of Reliability;;
374;Chip of Hope;Chip of Hope;;
375;Chip of Light;Chip of Light;;
376;V Chip;V Chip;;
377;Blue Chip;Blue Chip;;
378;Bancho Chip;Bancho Chip;;
379;Handy Manual;Handy Manual;;
380;Miracle Piece;Miracle Piece;;
381;Swiftness Piece;Swiftness Piece;;
382;Gluttony Piece;Gluttony Piece;;
383;Jet-Black X-Antibody;Jet-Black X-Antibody;;
384;Semi-finished Parts;Semi-finished Parts;;
385;Burst Code;Burst Code;;
386;Shield Code;Shield Code;;
387;Acceler Code;Acceler Code;;
388;Brain Code;Brain Code;;
389;Technical Code;Technical Code;;
390;Serpentine's Scale;Serpentine's Scale;;
391;Larva Decoder;Larva Decoder;;
392;Blank DigiCore;Blank DigiCore;;
393;Will of Destruction;Will of Destruction;;
394;Will of the Guardian;Will of the Guardian;;
395;Will of Swiftness;Will of Swiftness;;
396;Will of Wisdom;Will of Wisdom;;
397;Will of the Skilled;Will of the Skilled;;
398;DUMMY 1;DUMMY 1;;
399;DUMMY 2;DUMMY 2;;
400;Famitsu Booster;Famitsu Booster;;
401;Famitsu USB Stick;Famitsu USB Stick;;
402;Famitsu Prime Steak;Famitsu Prime Steak;;
403;Famitsu Prime Fish;Famitsu Prime Fish;;
404;Satisfying Meat;Satisfying Meat;;
405;High Motivation Meat;High Motivation Meat;;
406;Bargain Disc;Bargain Disc;;
407;Triple Disc;Triple Disc;;
408;Counterattack Disc;Counterattack Disc;;
409;Smiling Drink;Smiling Drink;;
410;Training Drink;Training Drink;;
411;Diet Mushroom;Diet Mushroom;;
412;Elder Mushroom;Elder Mushroom;;
413;Ultra Aid;Ultra Aid;;
414;Alrau Mandrake;Alrau Mandrake;;
415;Platinum Acorn;Platinum Acorn;;
416;Super Dengeki Lemon;Super Dengeki Lemon;;
417;Chain Marron;Chain Marron;;
418;Shield and Sword Plugin;Shield and Sword Plugin;;
419;MAX Plugin;MAX Plugin;;
420;Dengeki Digicatfish;Dengeki Digicatfish;;
421;White Sea God Digiwhale;White Sea God Digiwhale;;
422;Tenacity Chip;Tenacity Chip;;
423;Full Power Chip;Full Power Chip;;
