index;original;replace;excludeTerms;excludePaths
103;Super Beauty Recipe;Super Beauty Recipe;;
104;Binary Elixir Recipe;Binary Elixir Recipe;;
105;Cosy Lifestyle Guide;Cosy Lifestyle Guide;;
106;Vadertron Battery;Vadertron Battery;;
107;Luminous OOPArt;Luminous OOPArt;;
108;High-High Potion;High-High Potion;;
109;Spicy Flight Potion;Spicy Flight Potion;;
110;Super Beauty Smoothie;Super Beauty Smoothie;;
111;Binary Elixir;Binary Elixir;;
112;Astro Banana;Astro Banana;;
113;Smiling Orange;Smiling Orange;;
114;Chestnut Burr;Chestnut Burr;;
115;Larva Decoder;Larva Decoder;;
116;Bolt Unlocker;Bolt Unlocker;;
117;Storage Card α;Storage Card α;;
118;Storage Card Ω;Storage Card Ω;;
119;Storage Card D;Storage Card D;;
120;Storage Card ∞;Storage Card ∞;;
121;Storage Card R;Storage Card R;;
122;Storage Card N;Storage Card N;;
123;Storage Card A;Storage Card A;;
124;Storage Card Y;Storage Card Y;;
125;Storage Card M1;Storage Card M1;;
126;Storage Card M2;Storage Card M2;;
