index;original;replace;excludeTerms;excludePaths
142;Marching Fishes;Marching Fishes;;
143;Harpoon Torpedo;Harpoon Vulcan;;
144;Vulcan's Hammer;Hammer Spark;;
145;Arctic Blizzard;Arctic Blizzard;;
146;Ice Blast;Ice Arrow;;
147;Poison Ivy;Poison Ivy;;
148;Needle Spray;Prickly Bang Bang;;
149;Pendragon's Glory;Pendragon's Glory;;
150;Hearts Attack;Lovely Attack;;
151;Rosen Blood;Rosen Blood;;
152;Baby Burner;Baby Burner;;
153;Mega Burst;Mega Burst;;
154;Ice Spear;Ice Spear;;
155;Goma Milk Death;Goma Milk Death;;
156;All Delete;All Delete;;
157;Sieg Saber;Sieg Saber;;
158;Flower Cannon;Flower Cannon;;
159;Giant Crystal;Giant Crystal;;
160;Puppy Howling;Puppy Howling;;
161;Puppy Howling;Puppy Howling;;
162;Fire Breath;Fire Breath;;
163;Nuclear Laser;Nuclear Laser;;
164;X-Laser;X-Laser;;
165;Process F;Process F;;
166;Scissor Arms;Scissor Arms;;
167;Special Move 167;Special Move 167;;
168;Special Move 168;Special Move 168;;
169;Special Move 169;Special Move 169;;
170;Special Move 170;Special Move 170;;
171;Hunting Cannon;Hunting Cannon;;
172;Special Move 172;Special Move 172;;
173;Nightmare Syndrome;Nightmare Syndrome;;
174;Special Move 174;Special Move 174;;
175;Special Move 175;Special Move 175;;
176;Special Move 176;Special Move 176;;
177;Special Move 177;Special Move 177;;
178;Cherry Bomb;Cherry Bomb;;
179;Special Move 179;Special Move 179;;
180;Heartbreak Attack;Heartbreak Attack;;
181;Shining Gold Solar Storm;Shining Gold Solar Storm;;
182;Terror's Cluster;Terror's Cluster;;
183;Pepper Breath;Baby Flame;;
184;Infinity Cannon;Mugen Cannon;;
185;Electric Shock;Electric Shock;;
186;Grand Cross;Grand Cross;;
187;Diamond Storm;Koyōsetsu;;
188;Sticky Net;Nebaneba Net;;
189;Branch Drain;Branch Drain;;
190;Tyrant Fist;Tyrant Fist;;
191;Dragon Wheel;Koenryū;;
192;Power Metal;Power Metal;;
193;V-Nova Blast;V-Breath Arrow;;
194;Chrono Breaker;Chrono Breaker;;
195;Crash Symphony;Crush Symphony;;
196;Dragon Impulse;Dragon Impulse;;
197;Double Scissor Claw;Scissor Arms Ω;;
198;Genocide Gear;Genocide Gear;;
199;Cyclone Turbine;Senpū Turbine Geri;;
200;Dark Shot;Ground Zero;;
201;Talisman of Light;Bonhitsusen;;
202;Metal Fireball;Heavy Metal Fire;;
203;Galactic Flare;Cosmo Flash;;
204;Desperado Blaster;Desperado Blaster;;
205;Frozen Fury;Hyoujūken;;
206;Pit Bomb;Bit Bomb;;
207;Abduction Beam;Abduction Kousen;;
208;Smirk Bomb;Big Smiley Bomber;;
209;Metal Smirk Bomb;Energy Bomb;;
210;Mjoelnir Thunder;Mjölnir Thunder;;
211;Master Fire;Master Fire;;
212;Ultimate Ouryuken;Kyūkyoku Senjin Ouryūken;;
213;Ray of Victory;Shining V Force;;
214;Ray of Victory;Shining V Force;;
215;Giga Crusher;Giga Death;;
216;Omega Blade;Omega Blade;;
217;Eden's Javelin;Eden's Javelin;;
218;Hyper Infinity Cannon;Hyper Mugen Cannon;;
219;Dimension Scissor;Dimension Scissor;;
220;Infinity Arrow;Infinity Arrow;;
221;Amethyst Mandala;Kongoukai Mandara;;
222;Atomic Ray;Atomic Ray;;
223;Trump Sword;Trump Sword;;
224;Puppet Pummel;Bullet Hammer;;
225;Smiley Warhead;Smiley Warhead;;
226;Double Impact;Double Impact;;
227;Tomahawk Steiner;Tomahawk Steiner;;
228;Shining Gold Solar Storm;Shining Gold Solar Storm;;
229;Metal Storm;Metal Storm;;
230;River of Power;Ultimate Stream;;
231;Divine Atonement;Divine Atonement;;
232;Eternal Nightmare;Eternal Nightmare;;
233;Soul Core Attack;Konpaku Shingeki;;
234;Special Move 999;Special Move 999;;
