index;original;replace;excludeTerms;excludePaths
104;Darkdramon;Darkdramon;;
105;Chaosmon;Chaosmon;;
106;MetalGarurumon;MetalGarurumon;;
107;BlackMetalGarurumon;MetalGarurumon (Black);;
108;ZeedGarurumon;Z'dGarurumon;;
109;HerculesKabuterimon;HerakleKabuterimon;;
110;MetalEtemon;MetalEtemon;;
111;Vikemon;Vikemon;;
112;ChaosGallantmon;ChaosDukemon;;
113;MaloMyotismon;BelialVamdemon;;
114;Murmukusmon;Murmukusmon;;
115;Ghoulmon;Deathmon;;
116;Vikaralamon;Vikaralamon;;
117;Kumbhiramon;Kumbhiramon;;
118;Vajramon;Vajramon;;
119;Mihiramon;Mihiramon;;
120;Antylamon;Andiramon;;
121;Majiramon;Majiramon;;
122;Sandiramon;Sandiramon;;
123;Indramon;Indramon;;
124;Pajiramon;Pajiramon;;
125;Makuramon;Makuramon;;
126;Shinduramon;Shinduramon;;
127;Caturamon;Caturamon;;
128;Chaosdramon;Chaosdramon;;
129;Machinedramon;Mugendramon;;
130;MetalSeadramon;MetalSeadramon;;
131;GigaSeadramon;GigaSeadramon;;
132;NeoMyotismon;NeoVamdemon;;
133;Dorbickmon;Dorbickmon;;
134;Splashmon;Splashmon;;
135;Zamielmon;Zamielmon;;
136;Olegmon;Olegmon;;
137;Gravimon;Gravimon;;
138;WarGreymon X;WarGreymon X;;
139;BlackWarGreymon X;BlackWarGreymon X;;
140;Seraphimon;Seraphimon;;
141;Ophanimon;Ofanimon;;
142;Cherubimon;Cherubimon;;
143;Lucemon FM;Lucemon FM;;
144;Leviamon;Leviamon;;
145;Beelzemon;Beelzebumon;;
146;Lilithmon;Lilithmon;;
147;Belphemon Rage Mode;Belphemon Rage Mode;;
148;Barbamon;Barbamon;;
149;Daemon;Demon;;
150;Goldramon;Goddramon;;
151;Magnadramon;Holydramon;;
152;Megidramon;Megidramon;;
153;Azulongmon;Qinglongmon;;
154;Baihumon;Baihumon;;
155;Zhuqiaomon;Zhuqiaomon;;
156;Ebonwumon;Xuanwumon;;
157;AncientGreymon;AncientGreymon;;
158;AncientGarurumon;AncientGarurumon;;
159;AncientBeetlemon;AncientBeatmon;;
160;AncientKazemon;AncientIrismon;;
161;AncientMegatheriummon;AncientMegatheriumon;;
162;AncientMermaidmon;AncientMermaimon;;
163;AncientTroymon;AncientTroiamon;;
164;AncientWisemon;AncientWisemon;;
165;AncientSphinxmon;AncientSphinxmon;;
166;AncientVolcamon;AncientVolcamon;;
167;Apocalymon;Apocalymon;;
168;Huanglongmon;Huanglongmon;;
169;Imperialdramon;Imperialdramon;;
170;Imperialdramon FM;Imperialdramon FM;;
171;Imperialdramon PM;Imperialdramon PM;;
172;Omegamon;Omegamon;;
173;Gallantmon;Dukemon;;
174;Magnamon;Magnamon;;
175;Dynasmon;Dynasmon;;
176;Crusadermon;Dukemon;;
177;UlforceVeedramon;UlforceV-dramon;;
178;Craniamon;Craniummon;;
179;Kentaurosmon;Sleipmon;;
180;Leopardmon;Duftmon;;
181;Examon;Examon;;
182;Alphamon;Alphamon;;
183;Marsmon;Marsmon;;
184;Neptunemon;Neptunemon;;
185;Merukimon;Mercurymon;;
186;Venusmon;Venusmon;;
187;Minervamon;Minervamon;;
188;Vulcanusmon;Vulcanusmon;;
189;Clockmon;Clockmon;;
190;Jijimon;Jijimon;;
191;PawnChessmon (White);PawnChessmon (White);;
192;PawnChessmon (Black);PawnChessmon (Black);;
193;KnightChessmon (White);KnightChessmon (White);;
194;KnightChessmon (Black);KnightChessmon (Black);;
195;BishopChessmon;BishopChessmon;;
196;RookChessmon;RookChessmon;;
197;QueenChessmon;QueenChessmon;;
198;KingChessmon;KingChessmon;;
199;Agumon X;Agumon X;;
200;SkullScorpiomon X;Anomalocarimon X;;
201;UlforceVeedramon X;UlforceV-dramon X;;
202;Allomon X;Allomon X;;
203;Ebemon X;EBEmon X;;
204;Okuwamon X;Okuwamon X;;
205;Omegamon X;Omegamon X;;
206;Samudramon;Gaioumon;;
207;Chaosdramon X;Chaosdramon X;;
208;Gazimon X;Gazimon X;;
209;Crabmon X;Ganimon X;;
210;Gabumon X;Gabumon X;;
211;Garudamon X;Garudamon X;;
212;Garurumon X;Garurumon X;;
213;Guilmon X;Guilmon X;;
214;Growlmon X;Growmon X;;
215;GranDracmon;GrandDracumon;;
216;Greymon X;Greymon X;;
217;Kuwagamon X;Kuwagamon X;;
218;Cerberusmon X;Cerberumon X;;
219;Kokuwamon X;Kokuwamon X;;
220;Goldramon X;Goddramon X;;
221;Gotsumon X;Gottsumon X;;
222;Gomamon X;Gomamon X;;
223;Sangloupmon;Sangloupmon;;
224;Thundermon X;Thunderballmon X;;
225;Seadramon X;Seadramon X;;
226;SkullBaluchimon;SkullBaluchimon;;
227;SkullMammothmon X;SkullMammon X;;
228;Starmon X;Starmon X;;
229;TigerVespamon;TigerVespamon;;
230;Dinorexmon;Dinorexmon;;
231;Gatomon X;Gatomon X;;
232;Tylomon X;Tylomon X;;
233;DexDorugamon;Death-X-DORUgamon;;
234;DexDoruGreymon;Death-X-DORUguremon;;
235;Dexmon;Death-X-mon;;
236;Gallantmon X;Dukemon X;;
237;Dynasmon X;Dynasmon X;;
238;Leopardmon X;Duftmon X;;
239;Togemon X;Togemon X;;
240;Dracmon;Dracumon;;
241;Triceramon X;Triceramon X;;
242;Nefertimon X;Nefertimon X;;
243;Hagurumon X;Hagurumon X;;
244;Palmon X;Palmon X;;
245;IceLeomon X;Panjyamon X;;
246;PrinceMamemon X;PrinceMamemon X;;
247;Plesiomon X;Plesiomon X;;
248;Salamon X;Plotmon X;;
249;Vademon X;Vademon X;;
250;Betamon X;Betamon X;;
251;Beelzemon X;Beelzebumon X;;
252;Magnadramon X;Holydramon X;;
253;Magnamon X;Magnamon X;;
254;Matadormon;Matadrmon;;
255;Mamemon X;Mamemon X;;
256;Mantaraymon X;Mantaraymon X;;
257;Mammothmon X;Mammon X;;
258;MegaSeadramon X;MegaSeadramon X;;
259;WarGrowlmon X;MegaloGrowmon X;;
260;Megidramon X;Megidramon X;;
261;MetalGarurumon X;MetalGarurumon X;;
262;MetalGreymon X;MetalGreymon X;;
263;MetalTyrannomon X;MetalTyranomon X;;
264;MetalMamemon X;MetalMamemon X;;
265;MedievalGallantmon;MedievalDukemon;;
266;Monochromon X;Monochromon X;;
267;Lillymon X;Lilimon X;;
268;Leomon X;Leomon X;;
269;Rosemon X;Rosemon X;;
270;WereGarurumon X;WereGarurumon X;;
271;Tyrannomon;Tyranomon;;
272;DarkTyrannomon;DarkTyranomon;;
273;ExTyrannomon;Ex-Tyranomon;;
274;MasterTyrannomon;MasterTyranomon;;
275;MameTyramon;MameTyramon;;
276;RustTyrannomon;RustTyranomon;;
277;Kokuwamon;Kokuwamon;;
278;Okuwamon;Okuwamon;;
279;GranKuwagamon;GranKuwagamon;;
280;GrandisKuwagamon;GrandisKuwagamon;;
281;BladeKuwagamon;BladeKuwagamon;;
282;MetallifeKuwagamon;MetallifeKuwagamon;;
283;Kimeramon;Chimairamon;;
284;Dorugamon;DORUgamon;;
285;DoruGreymon;DORUguremon;;
286;Dorugoramon;DORUgoramon;;
287;DexDorugoramon;Death-X-DORUgoramon;;
288;Raptordramon;Raptordramon;;
289;Grademon;Grademon;;
290;Ryudamon;Ryudamon;;
291;Ginryumon;Ginryumon;;
292;Hisyaryumon;Hisyaryumon;;
293;Ouryumon;Ouryumon;;
294;Shoutmon;Shoutmon;;
295;Shoutmon X2;Shoutmon X2;;
296;Shoutmon X3;Shoutmon X3;;
297;Shoutmon X4;Shoutmon X4;;
298;Shoutmon X4B;Shoutmon X4B;;
299;Shoutmon X5;Shoutmon X5;;
300;Shoutmon X5B;Shoutmon X5B;;
301;OmegaShoutmon;OmegaShoutmon;;
302;Shoutmon DX;Shoutmon DX;;
303;Shoutmon X7;Shoutmon X7;;
304;Gumdramon;Gumdramon;;
305;Arresterdramon;Arresterdramon;;
306;ToyAgumon;ToyAgumon;;
307;Omekamon;Omekamon;;
308;ShineGreymon BM;ShineGreymon BM;;
309;MirageGaogamon BM;MirageGaogamon BM;;
310;Rosemon BM;Rosemon BM;;
311;Ravemon BM;Ravmon BM;;
312;Aurumon;Owlmon;;
313;Swanmon;Swanmon;;
314;Sethmon;Sethmon;;
315;Pipismon;Pipismon;;
316;Pteramon;Pteranomon;;
317;Halsemon;Holsmon;;
318;Elephantmon;Elephamon;;
319;Kongoumon;Kongoumon;;
320;Peacockmon;Peacockmon;;
321;Maildramon;Maildramon;;
322;Rhinomon;Rhinomon;;
323;Goatmon;Goatmon;;
324;Sagittarimon;Sagittarimon;;
325;Sheepmon;Sheepmon;;
326;Bullmon;Bullmon;;
327;Pegasusmon;Pegasmon;;
328;Moosemon;Moosemon;;
329;Kabukimon;Kabukimon;;
330;Shurimon;Shurimon;;
331;Nohemon;Nohemon;;
332;Frogmon;Frogmon;;
333;Ponchomon;Ponchomon;;
334;Yasyamon;Yaksamon;;
335;Archelomon;Archelomon;;
336;Orcamon;Orcamon;;
337;Submarimon;Submarimon;;
338;Tylomon;Tylomon;;
339;Depthmon;Depthmon;;
340;Mantaraymon;Mantaraymon;;
341;Searchmon;Searchmon;;
342;Digmon;Digmon;;
343;Butterflymon;Butterflamon;;
344;Honeybeemon;Honeybeemon;;
345;Flybeemon;Flybeemon;;
346;Mothmon;Mothmon;;
347;Gargomon;Gargomon;;
348;Quetzalmon;Coatlmon;;
349;Seahomon;Seahomon;;
350;Nefertimon;Nefertimon;;
351;Harpymon;Harpymon;;
352;Manbomon;Manbomon;;
353;Opossummon;Opossummon;;
354;Chamelemon;Chamelemon;;
355;Kangarumon;Kangarumon;;
356;Toucanmon;Toucanmon;;
357;Pucchiemon;Pucchiemon;;
358;Pucchiemon (Green);Pucchiemon (Green);;
359;Prairiemon;Prairiemon;;
360;Allomon;Allomon;;
361;Salamandermon;Salamandamon;;
362;Shadramon;Shadramon;;
363;Baromon;Baromon;;
364;FlameWizardmon;FlaWizardmon;;
365;Flamedramon;Fladramon;;
366;Boarmon;Boarmon;;
367;Lynxmon;Lynxmon;;
368;Kenkimon;Kenkimon;;
369;Thunderbirdmon;Thunderbirmon;;
370;Stegomon;Stegomon;;
371;Sepikmon;Sepikmon;;
372;Togemogumon;Togemogumon;;
373;Rabbitmon;Rabbitmon;;
374;Raidramon;Lighdramon;;
375;Linkmon;Rinkmon;;
376;GoldVeedramon;GoldV-dramon;;
377;Rapidmon (Armor);Rapidmon (Armor);;
378;Agunimon;Agnimon;;
379;Aldamon;Aldamon;;
380;BurningGreymon;Vritramon;;
381;EmperorGreymon;KaiserGreymon;;
382;Flamemon;Flamon;;
383;Calmaramon;Calmaramon;;
384;Ranamon;Ranamon;;
385;Daipenmon;Daipenmon;;
386;Kumamon;Chackmon;;
387;Korikakumon;Blizzarmon;;
388;JetSilphymon;JetSilphymon;;
389;Zephyrmon;Shutumon;;
390;Kazemon;Fairimon;;
391;Beetlemon;Blitzmon;;
392;MetalKabuterimon;Bolgmon;;
393;RhinoKabuterimon;RhinoKabuterimon;;
394;Arbormon;Arbormon;;
395;Petaldramon;Petaldramon;;
396;Gigasmon;Gigasmon;;
397;Grumblemon;Grottemon;;
398;Sakkakumon;Sephirothmon;;
399;Mercurymon;Mercuremon;;
400;Lobomon;Wolfmon;;
401;KendoGarurumon;Garummon;;
402;BeoWolfmon;Beowolfmon;;
403;MagnaGarurumon;MagnaGarurumon;;
404;Strabimon;Strabimon;;
405;JagerLoweemon;KaiserLeomon;;
406;Duskmon;Duskmon;;
407;Velgemon;Velgrmon;;
408;Rhihimon;Raihimon;;
409;Loweemon;Löwemon;;
410;Yggdrasill_7D6;Yggdrasill_7D6;;
411;Wizardmon;Wizarmon;;
412;Garbagemon;Gerbemon;;
413;Kuwagamon;Kuwagamon;;
414;Centarumon;Centalmon;;
415;Shellmon;Shellmon;;
416;Cherrymon;Jyureimon;;
417;Digitamamon;Digitamamon;;
418;Deramon;Delumon;;
419;ShogunGekomon;TonosamaGekomon;;
420;Drimogemon;Drimogemon;;
421;Nanimon;Nanimon;;
422;Mojyamon;Mojyamon;;
423;Monochromon;Monochromon;;
424;Frigimon;Yukidarumon;;
425;Lillymon;Lilimon;;
426;Salamon;Plotmon;;
427;WaruMonzaemon;WaruMonzaemon;;
428;Kuramon;Kuramon;;
429;Tsumemon;Tsumemon;;
430;Keramon;Keramon;;
431;Chrysalimon;Chrysalimon;;
432;Infermon;Infermon;;
433;Diaboromon;Diablomon;;
434;Sunmon;Sunmon;;
435;Coronamon;Coronamon;;
436;Firamon;Firamon;;
437;Flaremon;Flaremon;;
438;Apollomon;Apollomon;;
439;Moonmon;Moonmon;;
440;Lunamon;Lunamon;;
441;Lekismon;Lekismon;;
442;Crescemon;Crescemon;;
443;Dianamon;Dianamon;;
444;Babamon;Babamon;;
445;Agumon (2006);Agumon (2006);;
446;ProfessorAgumon;Agumon Hakase;;
447;Stingmon;Stingmon;;
448;Wormmon;Wormmon;;
449;Aquilamon;Aquilamon;;
450;Armadillomon;Armadiomon;;
451;Wendigomon;Wendimon;;
452;Gwappamon;Gawappamon;;
453;Sakuyamon;Sakuyamon;;
454;Shawjamon;Shawujinmon;;
455;Shakkoumon;Shakkoumon;;
456;Silphymon;Silphymon;;
457;Taomon;Taomon;;
458;Chirinmon;Tyilinmon;;
459;Gallantmon Crimson Mode;Dukemon Crimson Mode;;
460;Falcomon;Falcomon;;
461;Peckmon;Peckmon;;
462;Monodramon;Monodramon;;
463;Crowmon;Yatagaramon;;
464;Ravemon;Ravmon;;
465;Reppamon;Reppamon;;
466;SkullGreymon;SkullGreymon;;
467;Hawkmon;Hawkmon;;
468;Ankylomon;Ankylomon;;
469;Terriermon;Terriermon;;
470;Gargomon;Galgomon;;
471;Lopmon;Lopmon;;
472;Cherubimon (Evil);Cherubimon (Evil);;
473;Rapidmon;Rapidmon;;
474;MegaGargomon;SaintGalgomon;;
475;Renamon;Renamon;;
476;Kyubimon;Kyubimon;;
477;Cyberdramon;Cyberdramon;;
478;Justimon (Blitz Arm);Justimon (Blitz Arm);;
479;Beelzemon Blast Mode;Beelzebumon Blast Mode;;
480;Mamemon;Mamemon;;
481;MetalMamemon;MetalMamemon;;
482;PrinceMamemon;PrinceMamemon;;
483;Ogremon;Orgemon;;
484;Veedramon;V-dramon;;
485;AeroVeedramon;AeroV-dramon;;
486;Piedmon;Piemon;;
487;Vegiemon;Vegimon;;
488;Woodmon;Woodmon;;
489;Puppetmon;Pinochimon;;
490;Gigadramon;Gigadramon;;
491;Piximon;Piccolomon;;
492;Vademon;Vademon;;
493;Betamon;Betamon;;
494;Hi-Andromon;HiAndromon;;
495;Lucemon;Lucemon;;
496;Boltmon;Boltmon;;
497;SkullMeramon;DeathMeramon;;
498;GrapLeomon;GrappuLeomon;;
499;SaberLeomon;SaberLeomon;;
500;IceLeomon;Panjyamon;;
501;Pabumon;Bubbmon;;
502;Motimon;Mochimon;;
503;Lucemon Satan Mode;Lucemon Satan Mode;;
504;Whamon;Whamon;;
505;Parrotmon;Parrotmon;;
506;Gekomon;Gekomon;;
507;Susanoomon;Susanoomon;;
508;Fake ProfessorAgumon;NiseAgumon Hakase;;
509;Lucemon Larva;Lucemon Larva;;
510;Alphamon Ouryuken;Alphamon: Ouryuken;;
511;Millenniummon;Millenniumon;;
512;ZeedMillenniummon;ZeedMillenniumon;;
513;MoonMillenniummon;MoonMillenniumon;;
514;Belphemon Sleep Mode;Belphemon Sleep Mode;;
515;KingEtemon;KingEtemon;;
516;ShogunMamemon;TonosamaMamemon;;
517;BigMamemon;BigMamemon;;
518;CatchMamemon;CatchMamemon;;
519;Fugamon;Fugamon;;
520;Shamanmon;Shamamon;;
521;GoldNumemon;GoldNumemon;;
522;PlatinumSukamon;PlatinumSukamon;;
523;SkullScorpiomon;Scorpiomon;;
524;Ebemon;EBEmon;;
525;Gazimon;Gazimon;;
526;Crabmon;Crabmon;;
527;Cerberusmon;Cerberumon;;
528;Gotsumon;Gottsumon;;
529;Thundermon;Thunderballmon;;
530;SkullMammothmon;SkullMammon;;
531;Starmon;Starmon;;
532;Titamon;Titamon;;
533;Triceramon;Triceramon;;
534;Plesiomon;Plesiomon;;
535;Mammothmon;Mammon;;
536;UltimateBrachiomon;UltimateBrachimon;;
537;Fanbeemon;Funbeemon;;
538;TobuCatmon;Tobucatmon;;
539;Dinotigermon;Dinotigermon;;
540;ClavisAngemon;ClavisAngemon;;
541;MetalPiranimon;MetalPiranimon;;
542;Rhinomon X;Rhinomon X;;
543;Pteramon X;Pteranomon X;;
544;Otamamon X;Otamamon X;;
545;Gesomon X;Gesomon X;;
546;Syakomon X;Shakomon X;;
547;Dobermon X;Dobermon X;;
548;Otamamon;Otamamon;;
549;Gesomon;Gesomon;;
550;Syakomon;Shakomon;;
551;Dobermon;Dobermon;;
552;Elecmon;Elecmon;;
553;Penguinmon;Penmon;;
554;Kunemon;Kunemon;;
555;Tsunomon;Tunomon;;
556;Punimon;Punimon;;
557;Tanemon;Tanemon;;
558;Kokatorimon;Cockatrimon;;
559;Unimon;Unimon;;
560;Ninjamon;Igamon;;
561;Coelamon;Coelamon;;
562;Giromon;Giromon;;
563;Nyokimon;Nyokimon;;
564;Yokomon;Yokomon;;
565;Pichimon;Pitchmon;;
566;Bukamon;Bukamon;;
567;Nyaromon;Nyaromon;;
568;YukimiBotamon;YukimiBotamon;;
569;Chibomon;Chicomon;;
570;DemiVeemon;Chibimon;;
571;Pururumon;Pururumon;;
572;Poromon;Poromon;;
573;Tsubumon;Tsubumon;;
574;Upamon;Upamon;;
575;Leafmon;Leafmon;;
576;Minomon;Minomon;;
577;Zerimon;Zerimon;;
578;Gummymon;Gummymon;;
579;Relemon;Relemon;;
580;Viximon;Viximon;;
581;Conomon;Cocomon;;
582;Kokomon;Chocomon;;
583;MetalKoromon;Choromon;;
584;Kotemon;Kotemon;;
585;Chapmon;Chapmon;;
586;DemiMeramon;PetitMeramon;;
587;Calumon;Culumon;;
588;Kapurimon;Caprimon;;
