index;original;replace;excludeTerms;excludePaths
135;Garbage Collection;Garbage Collection;;
136;Reduction;Reduction;;
137;Refactoring;Refactoring;;
138;Hades Force;Hades Force;;
139;Pepper Breath;Pepper Breath;;
140;Destruction Grenade;Destruction Grenade;;
141;Thunder Blast;Thunder Blast;;
142;Marching Fishes;Marching Fishes;;
143;Harpoon Torpedo;Harpoon Torpedo;;
144;Vulcan's Hammer;Vulcan's Hammer;;
145;Arctic Blizzard;Arctic Blizzard;;
146;Ice Blast;Ice Blast;;
147;Poison Ivy;Poison Ivy;;
148;Needle Spray;Needle Spray;;
149;Pendragon's Glory;Pendragon's Glory;;
150;Hearts Attack;Hearts Attack;;
151;Rosen Blood;Rosen Blood;;
152;Baby Burner;Baby Burner;;
153;Mega Burst;Mega Burst;;
154;Ice Spear;Ice Spear;;
155;Goma Milk Death;Goma Milk Death;;
156;All Delete;All Delete;;
157;Sieg Saber;Sieg Saber;;
158;Flower Cannon;Flower Cannon;;
159;Giant Crystal;Giant Crystal;;
160;Puppy Howling;Puppy Howling;;
161;Puppy Howling;Puppy Howling;;
162;Fire Breath;Fire Breath;;
163;Nuclear Laser;Nuclear Laser;;
164;X-Laser;X-Laser;;
165;Process F;Process F;;
166;Scissor Arms;Scissor Arms;;
167;Special Move 167;Special Move 167;;
168;Special Move 168;Special Move 168;;
169;Special Move 169;Special Move 169;;
170;Special Move 170;Special Move 170;;
171;Hunting Cannon;Hunting Cannon;;
172;Special Move 172;Special Move 172;;
173;Nightmare Syndrome;Nightmare Syndrome;;
174;Special Move 174;Special Move 174;;
175;Special Move 175;Special Move 175;;
176;Special Move 176;Special Move 176;;
177;Special Move 177;Special Move 177;;
178;Cherry Bomb;Cherry Bomb;;
179;Special Move 179;Special Move 179;;
180;Heartbreak Attack;Heartbreak Attack;;
181;Shining Gold Solar Storm;Shining Gold Solar Storm;;
182;Terror's Cluster;Terror's Cluster;;
183;Pepper Breath;Pepper Breath;;
184;Infinity Cannon;Infinity Cannon;;
185;Electric Shock;Electric Shock;;
186;Grand Cross;Grand Cross;;
187;Diamond Storm;Diamond Storm;;
188;Sticky Net;Sticky Net;;
189;Branch Drain;Branch Drain;;
190;Tyrant Fist;Tyrant Fist;;
191;Dragon Wheel;Dragon Wheel;;
192;Power Metal;Power Metal;;
193;V-Nova Blast;V-Nova Blast;;
194;Chrono Breaker;Chrono Breaker;;
195;Crash Symphony;Crash Symphony;;
196;Dragon Impulse;Dragon Impulse;;
197;Double Scissor Claw;Double Scissor Claw;;
198;Genocide Gear;Genocide Gear;;
199;Cyclone Turbine;Cyclone Turbine;;
200;Dark Shot;Dark Shot;;
201;Talisman of Light;Talisman of Light;;
202;Metal Fireball;Metal Fireball;;
203;Galactic Flare;Galactic Flare;;
204;Desperado Blaster;Desperado Blaster;;
205;Frozen Fury;Frozen Fury;;
206;Pit Bomb;Pit Bomb;;
207;Abduction Beam;Abduction Beam;;
208;Smirk Bomb;Smirk Bomb;;
209;Metal Smirk Bomb;Metal Smirk Bomb;;
210;Mjoelnir Thunder;Mjoelnir Thunder;;
211;Master Fire;Master Fire;;
212;Ultimate Ouryuken;Ultimate Ouryuken;;
213;Ray of Victory;Ray of Victory;;
214;Ray of Victory;Ray of Victory;;
215;Giga Crusher;Giga Crusher;;
216;Omega Blade;Omega Blade;;
217;Eden's Javelin;Eden's Javelin;;
218;Hyper Infinity Cannon;Hyper Infinity Cannon;;
219;Dimension Scissor;Dimension Scissor;;
220;Infinity Arrow;Infinity Arrow;;
221;Amethyst Mandala;Amethyst Mandala;;
222;Atomic Ray;Atomic Ray;;
223;Trump Sword;Trump Sword;;
224;Puppet Pummel;Puppet Pummel;;
225;Smiley Warhead;Smiley Warhead;;
226;Double Impact;Double Impact;;
227;Tomahawk Steiner;Tomahawk Steiner;;
228;Shining Gold Solar Storm;Shining Gold Solar Storm;;
229;Metal Storm;Metal Storm;;
230;River of Power;River of Power;;
231;Divine Atonement;Divine Atonement;;
232;Eternal Nightmare;Eternal Nightmare;;
233;Soul Core Attack;Soul Core Attack;;
234;Special Move 999;Special Move 999;;
