index;original;replace;excludeTerms;excludePaths
104;Darkdramon;Darkdramon;;
105;Chaosmon;Chaosmon;;
106;MetalGarurumon;MetalGarurumon;;
107;BlackMetalGarurumon;BlackMetalGarurumon;;
108;ZeedGarurumon;ZeedGarurumon;;
109;HerculesKabuterimon;HerculesKabuterimon;;
110;MetalEtemon;MetalEtemon;;
111;Vikemon;Vikemon;;
112;ChaosGallantmon;ChaosGallantmon;;
113;MaloMyotismon;MaloMyotismon;;
114;Murmukusmon;Murmukusmon;;
115;Ghoulmon;Ghoulmon;;
116;Vikaralamon;Vikaralamon;;
117;Kumbhiramon;Kumbhiramon;;
118;Vajramon;Vajramon;;
119;Mihiramon;Mihiramon;;
120;Antylamon;Antylamon;;
121;Majiramon;Majiramon;;
122;Sandiramon;Sandiramon;;
123;Indramon;Indramon;;
124;Pajiramon;Pajiramon;;
125;Makuramon;Makuramon;;
126;Shinduramon;Shinduramon;;
127;Caturamon;Caturamon;;
128;Chaosdramon;Chaosdramon;;
129;Machinedramon;Machinedramon;;
130;MetalSeadramon;MetalSeadramon;;
131;GigaSeadramon;GigaSeadramon;;
132;NeoMyotismon;NeoMyotismon;;
133;Dorbickmon;Dorbickmon;;
134;Splashmon;Splashmon;;
135;Zamielmon;Zamielmon;;
136;Olegmon;Olegmon;;
137;Gravimon;Gravimon;;
138;WarGreymon X;WarGreymon X;;
139;BlackWarGreymon X;BlackWarGreymon X;;
140;Seraphimon;Seraphimon;;
141;Ophanimon;Ophanimon;;
142;Cherubimon;Cherubimon;;
143;Lucemon FM;Lucemon FM;;
144;Leviamon;Leviamon;;
145;Beelzemon;Beelzemon;;
146;Lilithmon;Lilithmon;;
147;Belphemon Rage Mode;Belphemon Rage Mode;;
148;Barbamon;Barbamon;;
149;Daemon;Daemon;;
150;Goldramon;Goldramon;;
151;Magnadramon;Magnadramon;;
152;Megidramon;Megidramon;;
153;Azulongmon;Azulongmon;;
154;Baihumon;Baihumon;;
155;Zhuqiaomon;Zhuqiaomon;;
156;Ebonwumon;Ebonwumon;;
157;AncientGreymon;AncientGreymon;;
158;AncientGarurumon;AncientGarurumon;;
159;AncientBeetlemon;AncientBeetlemon;;
160;AncientKazemon;AncientKazemon;;
161;AncientMegatheriummon;AncientMegatheriummon;;
162;AncientMermaidmon;AncientMermaidmon;;
163;AncientTroymon;AncientTroymon;;
164;AncientWisemon;AncientWisemon;;
165;AncientSphinxmon;AncientSphinxmon;;
166;AncientVolcamon;AncientVolcamon;;
167;Apocalymon;Apocalymon;;
168;Huanglongmon;Huanglongmon;;
169;Imperialdramon;Imperialdramon;;
170;Imperialdramon FM;Imperialdramon FM;;
171;Imperialdramon PM;Imperialdramon PM;;
172;Omegamon;Omegamon;;
173;Gallantmon;Gallantmon;;
174;Magnamon;Magnamon;;
175;Dynasmon;Dynasmon;;
176;Crusadermon;Crusadermon;;
177;UlforceVeedramon;UlforceVeedramon;;
178;Craniamon;Craniamon;;
179;Kentaurosmon;Kentaurosmon;;
180;Leopardmon;Leopardmon;;
181;Examon;Examon;;
182;Alphamon;Alphamon;;
183;Marsmon;Marsmon;;
184;Neptunemon;Neptunemon;;
185;Merukimon;Merukimon;;
186;Venusmon;Venusmon;;
187;Minervamon;Minervamon;;
188;Vulcanusmon;Vulcanusmon;;
189;Clockmon;Clockmon;;
190;Jijimon;Jijimon;;
191;PawnChessmon (White);PawnChessmon (White);;
192;PawnChessmon (Black);PawnChessmon (Black);;
193;KnightChessmon (White);KnightChessmon (White);;
194;KnightChessmon (Black);KnightChessmon (Black);;
195;BishopChessmon;BishopChessmon;;
196;RookChessmon;RookChessmon;;
197;QueenChessmon;QueenChessmon;;
198;KingChessmon;KingChessmon;;
199;Agumon X;Agumon X;;
200;SkullScorpiomon X;SkullScorpiomon X;;
201;UlforceVeedramon X;UlforceVeedramon X;;
202;Allomon X;Allomon X;;
203;Ebemon X;Ebemon X;;
204;Okuwamon X;Okuwamon X;;
205;Omegamon X;Omegamon X;;
206;Samudramon;Samudramon;;
207;Chaosdramon X;Chaosdramon X;;
208;Gazimon X;Gazimon X;;
209;Crabmon X;Crabmon X;;
210;Gabumon X;Gabumon X;;
211;Garudamon X;Garudamon X;;
212;Garurumon X;Garurumon X;;
213;Guilmon X;Guilmon X;;
214;Growlmon X;Growlmon X;;
215;GranDracmon;GranDracmon;;
216;Greymon X;Greymon X;;
217;Kuwagamon X;Kuwagamon X;;
218;Cerberusmon X;Cerberusmon X;;
219;Kokuwamon X;Kokuwamon X;;
220;Goldramon X;Goldramon X;;
221;Gotsumon X;Gotsumon X;;
222;Gomamon X;Gomamon X;;
223;Sangloupmon;Sangloupmon;;
224;Thundermon X;Thundermon X;;
225;Seadramon X;Seadramon X;;
226;SkullBaluchimon;SkullBaluchimon;;
227;SkullMammothmon X;SkullMammothmon X;;
228;Starmon X;Starmon X;;
229;TigerVespamon;TigerVespamon;;
230;Dinorexmon;Dinorexmon;;
231;Gatomon X;Gatomon X;;
232;Tylomon X;Tylomon X;;
233;DexDorugamon;DexDorugamon;;
234;DexDoruGreymon;DexDoruGreymon;;
235;Dexmon;Dexmon;;
236;Gallantmon X;Gallantmon X;;
237;Dynasmon X;Dynasmon X;;
238;Leopardmon X;Leopardmon X;;
239;Togemon X;Togemon X;;
240;Dracmon;Dracmon;;
241;Triceramon X;Triceramon X;;
242;Nefertimon X;Nefertimon X;;
243;Hagurumon X;Hagurumon X;;
244;Palmon X;Palmon X;;
245;IceLeomon X;IceLeomon X;;
246;PrinceMamemon X;PrinceMamemon X;;
247;Plesiomon X;Plesiomon X;;
248;Salamon X;Salamon X;;
249;Vademon X;Vademon X;;
250;Betamon X;Betamon X;;
251;Beelzemon X;Beelzemon X;;
252;Magnadramon X;Magnadramon X;;
253;Magnamon X;Magnamon X;;
254;Matadormon;Matadormon;;
255;Mamemon X;Mamemon X;;
256;Mantaraymon X;Mantaraymon X;;
257;Mammothmon X;Mammothmon X;;
258;MegaSeadramon X;MegaSeadramon X;;
259;WarGrowlmon X;WarGrowlmon X;;
260;Megidramon X;Megidramon X;;
261;MetalGarurumon X;MetalGarurumon X;;
262;MetalGreymon X;MetalGreymon X;;
263;MetalTyrannomon X;MetalTyrannomon X;;
264;MetalMamemon X;MetalMamemon X;;
265;MedievalGallantmon;MedievalGallantmon;;
266;Monochromon X;Monochromon X;;
267;Lillymon X;Lillymon X;;
268;Leomon X;Leomon X;;
269;Rosemon X;Rosemon X;;
270;WereGarurumon X;WereGarurumon X;;
271;Tyrannomon;Tyrannomon;;
272;DarkTyrannomon;DarkTyrannomon;;
273;ExTyrannomon;ExTyrannomon;;
274;MasterTyrannomon;MasterTyrannomon;;
275;MameTyramon;MameTyramon;;
276;RustTyrannomon;RustTyrannomon;;
277;Kokuwamon;Kokuwamon;;
278;Okuwamon;Okuwamon;;
279;GranKuwagamon;GranKuwagamon;;
280;GrandisKuwagamon;GrandisKuwagamon;;
281;BladeKuwagamon;BladeKuwagamon;;
282;MetallifeKuwagamon;MetallifeKuwagamon;;
283;Kimeramon;Kimeramon;;
284;Dorugamon;Dorugamon;;
285;DoruGreymon;DoruGreymon;;
286;Dorugoramon;Dorugoramon;;
287;DexDorugoramon;DexDorugoramon;;
288;Raptordramon;Raptordramon;;
289;Grademon;Grademon;;
290;Ryudamon;Ryudamon;;
291;Ginryumon;Ginryumon;;
292;Hisyaryumon;Hisyaryumon;;
293;Ouryumon;Ouryumon;;
294;Shoutmon;Shoutmon;;
295;Shoutmon X2;Shoutmon X2;;
296;Shoutmon X3;Shoutmon X3;;
297;Shoutmon X4;Shoutmon X4;;
298;Shoutmon X4B;Shoutmon X4B;;
299;Shoutmon X5;Shoutmon X5;;
300;Shoutmon X5B;Shoutmon X5B;;
301;OmegaShoutmon;OmegaShoutmon;;
302;Shoutmon DX;Shoutmon DX;;
303;Shoutmon X7;Shoutmon X7;;
304;Gumdramon;Gumdramon;;
305;Arresterdramon;Arresterdramon;;
306;ToyAgumon;ToyAgumon;;
307;Omekamon;Omekamon;;
308;ShineGreymon BM;ShineGreymon BM;;
309;MirageGaogamon BM;MirageGaogamon BM;;
310;Rosemon BM;Rosemon BM;;
311;Ravemon BM;Ravemon BM;;
312;Aurumon;Aurumon;;
313;Swanmon;Swanmon;;
314;Sethmon;Sethmon;;
315;Pipismon;Pipismon;;
316;Pteramon;Pteramon;;
317;Halsemon;Halsemon;;
318;Elephantmon;Elephantmon;;
319;Kongoumon;Kongoumon;;
320;Peacockmon;Peacockmon;;
321;Maildramon;Maildramon;;
322;Rhinomon;Rhinomon;;
323;Goatmon;Goatmon;;
324;Sagittarimon;Sagittarimon;;
325;Sheepmon;Sheepmon;;
326;Bullmon;Bullmon;;
327;Pegasusmon;Pegasusmon;;
328;Moosemon;Moosemon;;
329;Kabukimon;Kabukimon;;
330;Shurimon;Shurimon;;
331;Nohemon;Nohemon;;
332;Frogmon;Frogmon;;
333;Ponchomon;Ponchomon;;
334;Yasyamon;Yasyamon;;
335;Archelomon;Archelomon;;
336;Orcamon;Orcamon;;
337;Submarimon;Submarimon;;
338;Tylomon;Tylomon;;
339;Depthmon;Depthmon;;
340;Mantaraymon;Mantaraymon;;
341;Searchmon;Searchmon;;
342;Digmon;Digmon;;
343;Butterflymon;Butterflymon;;
344;Honeybeemon;Honeybeemon;;
345;Flybeemon;Flybeemon;;
346;Mothmon;Mothmon;;
347;Gargomon;Gargomon;;
348;Quetzalmon;Quetzalmon;;
349;Seahomon;Seahomon;;
350;Nefertimon;Nefertimon;;
351;Harpymon;Harpymon;;
352;Manbomon;Manbomon;;
353;Opossummon;Opossummon;;
354;Chamelemon;Chamelemon;;
355;Kangarumon;Kangarumon;;
356;Toucanmon;Toucanmon;;
357;Pucchiemon;Pucchiemon;;
358;Pucchiemon (Green);Pucchiemon (Green);;
359;Prairiemon;Prairiemon;;
360;Allomon;Allomon;;
361;Salamandermon;Salamandermon;;
362;Shadramon;Shadramon;;
363;Baromon;Baromon;;
364;FlameWizardmon;FlameWizardmon;;
365;Flamedramon;Flamedramon;;
366;Boarmon;Boarmon;;
367;Lynxmon;Lynxmon;;
368;Kenkimon;Kenkimon;;
369;Thunderbirdmon;Thunderbirdmon;;
370;Stegomon;Stegomon;;
371;Sepikmon;Sepikmon;;
372;Togemogumon;Togemogumon;;
373;Rabbitmon;Rabbitmon;;
374;Raidramon;Raidramon;;
375;Linkmon;Linkmon;;
376;GoldVeedramon;GoldVeedramon;;
377;Rapidmon (Armor);Rapidmon (Armor);;
378;Agunimon;Agunimon;;
379;Aldamon;Aldamon;;
380;BurningGreymon;BurningGreymon;;
381;EmperorGreymon;EmperorGreymon;;
382;Flamemon;Flamemon;;
383;Calmaramon;Calmaramon;;
384;Ranamon;Ranamon;;
385;Daipenmon;Daipenmon;;
386;Kumamon;Kumamon;;
387;Korikakumon;Korikakumon;;
388;JetSilphymon;JetSilphymon;;
389;Zephyrmon;Zephyrmon;;
390;Kazemon;Kazemon;;
391;Beetlemon;Beetlemon;;
392;MetalKabuterimon;MetalKabuterimon;;
393;RhinoKabuterimon;RhinoKabuterimon;;
394;Arbormon;Arbormon;;
395;Petaldramon;Petaldramon;;
396;Gigasmon;Gigasmon;;
397;Grumblemon;Grumblemon;;
398;Sakkakumon;Sakkakumon;;
399;Mercurymon;Mercurymon;;
400;Lobomon;Lobomon;;
401;KendoGarurumon;KendoGarurumon;;
402;BeoWolfmon;BeoWolfmon;;
403;MagnaGarurumon;MagnaGarurumon;;
404;Strabimon;Strabimon;;
405;JagerLoweemon;JagerLoweemon;;
406;Duskmon;Duskmon;;
407;Velgemon;Velgemon;;
408;Rhihimon;Rhihimon;;
409;Loweemon;Loweemon;;
410;Yggdrasill_7D6;Yggdrasill_7D6;;
411;Wizardmon;Wizardmon;;
412;Garbagemon;Garbagemon;;
413;Kuwagamon;Kuwagamon;;
414;Centarumon;Centarumon;;
415;Shellmon;Shellmon;;
416;Cherrymon;Cherrymon;;
417;Digitamamon;Digitamamon;;
418;Deramon;Deramon;;
419;ShogunGekomon;ShogunGekomon;;
420;Drimogemon;Drimogemon;;
421;Nanimon;Nanimon;;
422;Mojyamon;Mojyamon;;
423;Monochromon;Monochromon;;
424;Frigimon;Frigimon;;
425;Lillymon;Lillymon;;
426;Salamon;Salamon;;
427;WaruMonzaemon;WaruMonzaemon;;
428;Kuramon;Kuramon;;
429;Tsumemon;Tsumemon;;
430;Keramon;Keramon;;
431;Chrysalimon;Chrysalimon;;
432;Infermon;Infermon;;
433;Diaboromon;Diaboromon;;
434;Sunmon;Sunmon;;
435;Coronamon;Coronamon;;
436;Firamon;Firamon;;
437;Flaremon;Flaremon;;
438;Apollomon;Apollomon;;
439;Moonmon;Moonmon;;
440;Lunamon;Lunamon;;
441;Lekismon;Lekismon;;
442;Crescemon;Crescemon;;
443;Dianamon;Dianamon;;
444;Babamon;Babamon;;
445;Agumon (2006);Agumon (2006);;
446;ProfessorAgumon;ProfessorAgumon;;
447;Stingmon;Stingmon;;
448;Wormmon;Wormmon;;
449;Aquilamon;Aquilamon;;
450;Armadillomon;Armadillomon;;
451;Wendigomon;Wendigomon;;
452;Gwappamon;Gwappamon;;
453;Sakuyamon;Sakuyamon;;
454;Shawjamon;Shawjamon;;
455;Shakkoumon;Shakkoumon;;
456;Silphymon;Silphymon;;
457;Taomon;Taomon;;
458;Chirinmon;Chirinmon;;
459;Gallantmon Crimson Mode;Gallantmon Crimson Mode;;
460;Falcomon;Falcomon;;
461;Peckmon;Peckmon;;
462;Monodramon;Monodramon;;
463;Crowmon;Crowmon;;
464;Ravemon;Ravemon;;
465;Reppamon;Reppamon;;
466;SkullGreymon;SkullGreymon;;
467;Hawkmon;Hawkmon;;
468;Ankylomon;Ankylomon;;
469;Terriermon;Terriermon;;
470;Gargomon;Gargomon;;
471;Lopmon;Lopmon;;
472;Cherubimon (Evil);Cherubimon (Evil);;
473;Rapidmon;Rapidmon;;
474;MegaGargomon;MegaGargomon;;
475;Renamon;Renamon;;
476;Kyubimon;Kyubimon;;
477;Cyberdramon;Cyberdramon;;
478;Justimon (Blitz Arm);Justimon (Blitz Arm);;
479;Beelzemon Blast Mode;Beelzemon Blast Mode;;
480;Mamemon;Mamemon;;
481;MetalMamemon;MetalMamemon;;
482;PrinceMamemon;PrinceMamemon;;
483;Ogremon;Ogremon;;
484;Veedramon;Veedramon;;
485;AeroVeedramon;AeroVeedramon;;
486;Piedmon;Piedmon;;
487;Vegiemon;Vegiemon;;
488;Woodmon;Woodmon;;
489;Puppetmon;Puppetmon;;
490;Gigadramon;Gigadramon;;
491;Piximon;Piximon;;
492;Vademon;Vademon;;
493;Betamon;Betamon;;
494;Hi-Andromon;Hi-Andromon;;
495;Lucemon;Lucemon;;
496;Boltmon;Boltmon;;
497;SkullMeramon;SkullMeramon;;
498;GrapLeomon;GrapLeomon;;
499;SaberLeomon;SaberLeomon;;
500;IceLeomon;IceLeomon;;
501;Pabumon;Pabumon;;
502;Motimon;Motimon;;
503;Lucemon Satan Mode;Lucemon Satan Mode;;
504;Whamon;Whamon;;
505;Parrotmon;Parrotmon;;
506;Gekomon;Gekomon;;
507;Susanoomon;Susanoomon;;
508;Fake ProfessorAgumon;Fake ProfessorAgumon;;
509;Lucemon Larva;Lucemon Larva;;
510;Alphamon Ouryuken;Alphamon Ouryuken;;
511;Millenniummon;Millenniummon;;
512;ZeedMillenniummon;ZeedMillenniummon;;
513;MoonMillenniummon;MoonMillenniummon;;
514;Belphemon Sleep Mode;Belphemon Sleep Mode;;
515;KingEtemon;KingEtemon;;
516;ShogunMamemon;ShogunMamemon;;
517;BigMamemon;BigMamemon;;
518;CatchMamemon;CatchMamemon;;
519;Fugamon;Fugamon;;
520;Shamanmon;Shamanmon;;
521;GoldNumemon;GoldNumemon;;
522;PlatinumSukamon;PlatinumSukamon;;
523;SkullScorpiomon;SkullScorpiomon;;
524;Ebemon;Ebemon;;
525;Gazimon;Gazimon;;
526;Crabmon;Crabmon;;
527;Cerberusmon;Cerberusmon;;
528;Gotsumon;Gotsumon;;
529;Thundermon;Thundermon;;
530;SkullMammothmon;SkullMammothmon;;
531;Starmon;Starmon;;
532;Titamon;Titamon;;
533;Triceramon;Triceramon;;
534;Plesiomon;Plesiomon;;
535;Mammothmon;Mammothmon;;
536;UltimateBrachiomon;UltimateBrachiomon;;
537;Fanbeemon;Fanbeemon;;
538;TobuCatmon;TobuCatmon;;
539;Dinotigermon;Dinotigermon;;
540;ClavisAngemon;ClavisAngemon;;
541;MetalPiranimon;MetalPiranimon;;
542;Rhinomon X;Rhinomon X;;
543;Pteramon X;Pteramon X;;
544;Otamamon X;Otamamon X;;
545;Gesomon X;Gesomon X;;
546;Syakomon X;Syakomon X;;
547;Dobermon X;Dobermon X;;
548;Otamamon;Otamamon;;
549;Gesomon;Gesomon;;
550;Syakomon;Syakomon;;
551;Dobermon;Dobermon;;
552;Elecmon;Elecmon;;
553;Penguinmon;Penguinmon;;
554;Kunemon;Kunemon;;
555;Tsunomon;Tsunomon;;
556;Punimon;Punimon;;
557;Tanemon;Tanemon;;
558;Kokatorimon;Kokatorimon;;
559;Unimon;Unimon;;
560;Ninjamon;Ninjamon;;
561;Coelamon;Coelamon;;
562;Giromon;Giromon;;
563;Nyokimon;Nyokimon;;
564;Yokomon;Yokomon;;
565;Pichimon;Pichimon;;
566;Bukamon;Bukamon;;
567;Nyaromon;Nyaromon;;
568;YukimiBotamon;YukimiBotamon;;
569;Chibomon;Chibomon;;
570;DemiVeemon;DemiVeemon;;
571;Pururumon;Pururumon;;
572;Poromon;Poromon;;
573;Tsubumon;Tsubumon;;
574;Upamon;Upamon;;
575;Leafmon;Leafmon;;
576;Minomon;Minomon;;
577;Zerimon;Zerimon;;
578;Gummymon;Gummymon;;
579;Relemon;Relemon;;
580;Viximon;Viximon;;
581;Conomon;Conomon;;
582;Kokomon;Kokomon;;
583;MetalKoromon;MetalKoromon;;
584;Kotemon;Kotemon;;
585;Chapmon;Chapmon;;
586;DemiMeramon;DemiMeramon;;
587;Calumon;Calumon;;
588;Kapurimon;Kapurimon;;
